ТОП безопасных банков (отобранных по удобству);Информирование об операциях по банковской карте;Установка лимитов по операциям (в день);Монторинг движения средств;Биометрическая защита;Страхование;Наличие мобильного приложения;Открытие вклада;Открытие кредита;Проведение основных платежей;Привязка сторонныих карт;Получение выписок по операциям;Автоплатежи;Консьерж-сервис;Аналитика доходов и расходов в приложении ;Переводы по номеру телефона;Шаблонирование платежей;Открытие дополнительных карт (кредитные/дебетовые);Оналйн чат поддержки
Сбербанк;1;54 000,00 ?;1;1;1;1;1;1;1;1;1;1;10000;1;1;1;1;1
Газпромбанк;1;600 000,00 ?;1;1;1;1;1;1;1;0;1;1;индивидуально;1;1;1;1;0
Траст;1;300 000,00 ?;1;0;1;1;1;1;0;0;1;1;0;1;0;1;1;0
Росбанк;1;285 000,00 ?;1;1;1;1;1;1;1;0;1;1;индивидуально;1;1;1;1;0
Тинькофф Банк;1;150 000,00 ?;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
Уралсиб;1;600 000,00 ?;1;1;1;1;1;1;1;0;1;1;12500;1;0;1;1;1
ВТБ;1;150 000,00 ?;1;1;1;1;1;1;1;1;1;1;2500;1;1;1;1;1
Альфа-Банк;1;307 500,00 ?;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1
Райффайзенбанк;1;150 000,00 ?;1;1;1;1;1;1;1;1;1;1;2500;1;1;1;1;0
Новикомбанк;1;100 000,00 ?;1;1;1;1;1;1;1;0;1;1;2000;1;0;1;1;0
Всероссийский Банк Развития Регионов;1;60 000,00 ?;1;1;0;1;1;1;0;0;1;1;при статусе Премиум клиента ;1;1;1;1;0
АК Барс;1;70 000,00 ?;1;1;1;1;1;1;1;0;1;1;при статусе Премиум клиента ;1;1;1;1;1
Россельхозбанк;1;150 000,00 ?;1;1;1;1;1;1;1;0;1;1;12700;1;1;1;1;0
Открытие;1;150 000,00 ?;1;1;1;1;1;1;1;1;1;1;при статусе Премиум клиента ;1;1;1;1;0
ЮниКредит Банк;1;200 000,00 ?;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;0
СовкомБанк;1;100 000,00 ?;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1
"Банк ""Россия""";1;50 000,00 ?;1;0;0;1;1;1;1;0;1;1;0;1;0;1;1;0
"Банк ""Санкт-Петербург""";1;200 000,00 ?;1;1;0;1;1;1;1;0;1;1;индивидуально;1;1;1;1;0
Ситибанк;1;225 000,00 ?;1;0;1;1;1;1;0;0;1;1;2500;1;0;1;1;0
Почта Банк;1;100 000,00 ?;1;1;1;1;1;1;1;0;1;1;2000;1;1;1;1;1
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
